"GR/L77089/01","[[['dunne, dr pe', '28303'], ['gibbons, professor a', '5839']], 134777]"
"GR/L16255/01","[[['stansby, professor pk', '14993'], ['leschziner, professor m', '9409'], ['lien, dr f', '38272']], 59741]"
"GR/J40638/01","[[['morley, dr c', '33041']], 95958]"
"GR/J76965/01","[[['sobhy, professor m', '14785'], ['jastrzebski, mr a', '8210']], 110931]"
"GR/K59576/01","[[['lappin, professor s', '38047']], 52644]"
"GR/J76835/01","[[['porter, professor k', '12629']], 101902]"
"GR/F58998/01","[[['steele, professor r', '15041']], 93653]"
"GR/M82110/01","[[['crispin, dr a', '3565'], ['taylor, professor g', '15579']], 90347]"
"GR/J80115/01","[[['christopoulos, professor c', '2919']], 74466]"
"GR/J35757/01","[[['scott, professor ns', '14060']], 12374]"
"GR/H90513/01","[[['donovan, dr p', '4336'], ['petford-long, professor a', '12367']], 81766]"
"GR/L61118/01","[[['hatfield, dr j', '6958'], ['persaud, professor kc', '12350'], ['payne, professor p', '12210']], 277452]"
"GR/L35973/01","[[['page, dr i', '11983'], ['stevens, dr a', '45378']], 71712]"
"GR/L35980/01","[[['gordon, professor m', '6120']], 176386]"
"GR/M22772/01","[[['ghanbari, professor m', '5825']], 138528]"
"GR/M67582/01","[[['sellin, professor pj', '62129']], 37056]"
"GR/L17221/01","[[['hayward, professor g', '7052'], ['chapman, mr r', '2779']], 197422]"
"GR/H95082/01","[[['raithby, professor pr', '44789'], ['jones, professor w', '8511']], 255916]"
"GR/J56950/01","[[['raithby, professor pr', '44789'], ['jones, professor w', '8511']], 279029]"
"GR/L22324/01","[[['hutchison, dr jl', '7946'], ['green, professor mlh', '6323'], ['derby, professor b', '4136'], ['petford-long, professor a', '12367'], ['dobson, professor pj', '4267']], 1154808]"
"GR/K15787/01","[[['webb, professor c', '16707']], 111734]"
"GR/L24625/01","[[['whatmore, professor rw', '44687'], ['nicholls, professor jr', '11579']], 13515]"
"GR/M59891/01","[[['williams, professor p', '35479'], ['mackay, dr r', '-417231'], ['wilkinson, mr j', '65834']], 126125]"
"GR/L39988/01","[[['bending, professor sj', '1216'], ['squire, dr s', '14941'], ['andrews, dr sr', '34855']], 54489]"
"GR/M48147/01","[[['evetts, professor j', '5025'], ['bhadeshia, professor h', '1352'], ['blamire, professor m', '1509'], ['greer, professor al', '6357'], ['barber, dr z', '25929']], 221704]"
